ID,NAME
36,AEROCARIBBEAN AIRLINES
173,"ANGLO-CARIBBEAN CO., LTD."
306,BANCO NACIONAL DE CUBA
424,BOUTIQUE LA MAISON
475,CASA DE CUBA
480,"CECOEX, S.A."
535,CIMEX
536,CIMEX IBERICA
537,"CIMEX, S.A."
540,"COMERCIAL IBEROAMERICANA, S.A."
551,"COMERCIAL CIMEX, S.A."
552,"COMERCIAL DE RODAJES Y MAQUINARIA, S.A."
555,COMERCIALIZACION DE PRODUCTOS VARIOS
559,COMPANIA DE IMPORTACION Y EXPORTACION IBERIA
8125,CORPORACION CIMEX S.A.
578,COTEI
589,"CRYMSA - ARGENTINA, S.A."
590,CUBACANCUN CIGARS AND GIFT SHOPS
591,CUBAEXPORT
592,CUBAFRUTAS
593,CUBAN CIGARS TRADE
621,CUBANATUR
622,CUBATABACO
636,"CUMEXINT, S.A."
651,"DELVEST HOLDING, S.A."
701,EDICIONES CUBANAS
702,"EDYJU, S.A."
735,EMPRESA CUBANA DE AVIACION
751,EMPRESA CUBANA DE PESCADOS Y MARISCOS
758,EMPRESA DE TURISMO NACIONAL Y INTERNACIONAL
767,ETCO INTERNATIONAL COMMODITIES LTD.
768,"ETCO INTERNATIONAL COMPANY, LIMITED"
815,"GALAX TRADING CO., LTD."
906,HAVIN BANK LIMITED
907,HAVANATUR
1042,INSTITUTO NACIONAL DE TURISMO DE CUBA
1043,INTERCONSULT
1241,"KAVE, S.A."
1287,LA EMPRESA CUBANA DE FLETES
1316,"LEVERAGE, S.A."
1555,NIREF
1570,NORDSTRAND LTD.
1571,NORDSTRAND MARITIME AND TRADING COMPANY
1641,PANAMERICAN IMPORT AND EXPORT COMMERCIAL CORPORATION
1660,"PESCABRAVA, S.A."
1700,PRELASA
1701,PRENSA LATINA CANADA LTD.
1702,PRENSA LATINA
1888,"SERVINAVES, S.A."
2109,"TROBER, S.A."
2110,TROPIC TOURS GMBH
2184,"VIAJES GUAMA, S.A."
2186,VINALES TOURS
3748,COBALT REFINERY CO. INC.
3749,LA COMPANIA GENERAL DE NIQUEL
3750,INTERNATIONAL COBALT CO. INC.
3751,MOA NICKEL SA
4632,BANK MARKAZI JOMHOURI ISLAMI IRAN
4633,BANK MASKAN
4635,BANK REFAH KARGARAN
4639,BANK KESHAVARZI IRAN
4642,BANK SADERAT PLC
4688,ABU SAYYAF GROUP
4690,ARMED ISLAMIC GROUP
4691,AUM SHINRIKYO
4693,EUZKADI TA ASKATASUNA
4694,GAMA'A AL-ISLAMIYYA
4695,HAMAS
4696,HARAKAT UL-MUJAHIDEEN
4697,HIZBALLAH
4700,KAHANE CHAI
4702,KURDISTAN WORKERS' PARTY
4703,LIBERATION TIGERS OF TAMIL EELAM
4706,NATIONAL LIBERATION ARMY
4707,PALESTINE ISLAMIC JIHAD - SHAQAQI FACTION
4708,PALESTINE LIBERATION FRONT - ABU ABBAS FACTION
4709,POPULAR FRONT FOR THE LIBERATION OF PALESTINE
4710,POPULAR FRONT FOR THE LIBERATION OF PALESTINE - GENERAL COMMAND
4713,REVOLUTIONARY PEOPLE'S LIBERATION PARTY/FRONT
4714,REVOLUTIONARY PEOPLE'S STRUGGLE
4715,SHINING PATH
4717,DEMOCRATIC FRONT FOR THE LIBERATION OF PALESTINE - HAWATMEH FACTION
