test_id,matched_id,score,is_correct,match_name,test_name
47847,47847,72.88135593220339,True,LIMITED LIABILITY COMPANY GEOPROMAINING VERKHNE MENKECHE,geo pro main ing liability menke che limited ver kh ne company
48507,48507,91.22807017543859,True,JOINT STOCK COMPANY RAMEC VS,vs ram ec company joint stock
47746,47746,100.0,True,JOINT STOCK COMPANY NOVOSIBIRSK MECHANICAL PLANT ISKRA,iskra stock mechanical plant company joint novosibirsk
23604,23604,94.5054945054945,True,RINCON CASTILLO DRUG TRAFFICKING ORGANIZATION,drug rinc on castillo organization trafficking
48027,48027,70.58823529411764,True,LIMITED LIABILITY COMPANY INZHENERNO TEKHNOLOGICHESKI TSENTR ATM,tsen tr company limited liability in zhen er note kh no logic he ski atm
9548,9548,78.26086956521739,True,MAESAI K.D.P. COMPANY LTD.,company k dp mae sail td
50530,50530,98.30508474576271,True,"MUNOZ PALACIOS, Miguel Antonio",palacios mun oz antonio miguel
51768,51768,100.0,True,JOINT STOCK COMPANY ROYAL CREDIT BANK,stock credit company joint bank royal
52176,31414,53.21100917431192,False,OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU NEOBIT,ob shche st vo otv et st ven nost yu og rani chen noi mtvs
21387,21387,77.27272727272727,True,"TURAB, Ali Muhammad Abu",tura babu ali muhammad
52582,36053,56.29629629629629,False,JOINT STOCK COMPANY 10 ORDENA TRUDOVOGO KRASNOGO ZNAMENI DOCKYARD,so ed inen ii stock company za vo d joint novo tro its kii h romo vy h
49311,49311,100.0,True,INSTITUTE OF HIGH CURRENT ELECTRONICS SIBERIAN BRANCH RUSSIAN ACADEMY OF SCIENCES,high russian academy electronics branch current siberian institute of sciences of
19714,19714,91.22807017543859,True,GRANDEUR GENERAL TRADING FZE,f ze general trading grandeur
49268,52257,53.91304347826087,False,OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU SEB,rus med tor gob shche stv oo gran i chen noi otv et st ven nos tyus
36676,36676,55.55555555555556,True,OOO KOMPANIYA ZOLOTOI VEK,ooo zo lot oi kom pani ya vek
49382,49382,100.0,True,PUBLIC JOINT STOCK COMPANY KIROV PLANT MAYAK,company mayak kirov public plant joint stock
46911,46911,77.33333333333333,True,SKYLINE ADVANCED TECNOLOGIES SDN BHD,b hds dn tecnol o gies advanced skyline
47956,44544,92.06349206349206,False,LIMITED LIABILITY COMPANY VERUS,company limited a urus liability
24563,24563,87.87878787878788,True,CAR ESCORT SERVICES S.A.L. OFF SHORE,shores al escort services off car
49395,35867,62.903225806451616,False,JOINT STOCK COMPANY AZOVSKI OPTIKO MECHANICHESKY ZAVOD,joint a lek sins kii za vo d company stock op y t nyi meh a niches kii
52221,52221,98.66666666666667,True,LIMITED LIABILITY COMPANY ITK SISTEMA,liability sistema limited it k company
45981,49197,80.0,False,LIMITED LIABILITY COMPANY MERKATOR HOLDING,limited liability company holding infra s tract ure 4
49794,49794,68.23529411764706,True,"SUMINISTROS COMBUSTIBLES OCEANOS, S.A. DE C.V.",sum in is tros dec voce a nossa combustibles
48248,48248,52.459016393442624,True,"SHAHMARI GHOJEH BIKLO, Rostam",gh oj eh bi kl oro stam shah mari
8332,8332,69.38775510204081,True,"AL-QASIR, Nazar Jumah Ali",n azar ju mahal qa sir ali
46923,46923,74.28571428571429,True,ARTA WAVE SDN BHD,bh dart as dn wave
12215,12215,100.0,True,SECOND ACADEMY OF NATURAL SCIENCES,of academy second natural sciences
49309,49309,75.75757575757575,True,JOINT STOCK COMPANY SITRONICS KT,kt stock company joints i tronic s
47475,47475,100.0,True,CLOSED JOINT STOCK COMPANY SPECIAL TRANSPORTATION SERVICES,closed stock joint services special company transportation
52250,52250,87.32394366197182,True,HONGKONG YAQING SHIPPING CO LIMITED,shipping co hongkong ya qing limited
28047,28047,86.48648648648648,True,"TRY PHEAP GRAND ROYAL CAMBODIA CO., LTD.",try grand cop heap ltd cambodia royal
8192,8192,76.19047619047619,True,"AL-TIKRITI, Raghad Saddam Hussein",al tikriti saddam raghad hussein
49186,49186,94.65648854961832,True,JOINT STOCK COMPANY RESEARCH AND IMPLEMENTATION ENTERPRISE PROTEK,research joint and pro tek company stock enterprise implementation
41277,41277,84.61538461538461,True,HULM AL SAHRA ELECTRIC DEVICES TRADING,devices trading h ulm electrics a hra al
15699,15699,87.5,True,"RANCHO AGRICOLA GANADERO LOS MEZQUITES, S.A. DE C.V.",cv los rancho agricola gana de rode mez quite ssa
48441,48441,100.0,True,COMPLEX UNMANNED SOLUTIONS CENTER LTD,center complex unmanned ltd solutions
42097,42097,75.67567567567568,True,MANAGEMENT COMPANY METALLOINVEST LLC,management metal lo invest llc company
45741,45741,59.493670886075954,True,KUZEY LOGISTICS TASIMACILIK ITHALAT IHRACAT VE DIS TICARET LIMITED SIRKETI,sir ket it as imac ili k limited ve disk uz ey logistics ihr ac attic are ti thal at
50003,50003,100.0,True,RESEARCH AND PRODUCTION ASSOCIATION LEPTON,lepton association research production and
19174,18088,53.65853658536586,False,BRIC INMOBILIARIA,in mobil i aria j corp m
27591,27591,98.55072463768117,True,ALCARDINAL GENERAL TRADING LIMITED,trading limited general al cardinal
7173,7173,100.0,True,"MORENO MEDINA, Luis Ignacio",ignacio medina moreno luis
27467,27467,100.0,True,"CHINA CONCORD PETROLEUM CO., LIMITED",co petroleum china limited concord
43272,43272,100.0,True,ASIA PACIFIC LINKS LIMITED,links asia pacific limited
10634,10634,89.79591836734694,True,"OLIVAS OJEDA, Juan Carlos",juan carlos oliv as ojeda
41113,41113,100.0,True,LIMITED LIABILITY COMPANY HOLDING INTELLIGENT COMPUTER SYSTEMS,holding systems computer limited intelligent liability company
40571,46783,48.64864864864865,False,JOINT STOCK COMPANY NIZHNY NOVGOROD PLANT OF THE 70TH ANNIVERSARY OF VICTORY,re mont ny yak tsi one rno yet sent rob shche st vos ever ovo stoch n yy
46809,46809,95.08196721311475,True,EUROPEAN TRADING TECHNOLOGY B.V.,european trading technology b v
50080,50080,100.0,True,YEMEN TELECOMMUNICATION ASSET COMPANY FOR INFORMATION TECHNOLOGY,company information yemen for telecommunication technology asset
52127,52127,89.36170212765957,True,GAZPROMNEFT ORENBURG LIMITED LIABILITY COMPANY,orenburg limited liability company gazprom ne ft
45971,45971,100.0,True,LIMITED LIABILITY COMPANY LEX PRIME,company liability limited prime lex
47294,49437,82.05128205128204,False,LIMITED LIABILITY COMPANY ELGA MARINE,company limited liability e xima la bug a
49411,49411,98.55072463768117,True,LIMITED LIABILITY COMPANY MEGASTEK,limited company liability megas tek
10596,10596,93.61702127659575,True,FMF GENERAL TRADING LLC,general trading fm f llc
18715,51662,94.73684210526316,False,BBR BANK JOINT STOCK COMPANY,joints ber bank company stock
42942,42942,100.0,True,"BEIJING SHINY NIGHTS TECHNOLOGY DEVELOPMENT CO., LTD",nights beijing shiny co technology ltd development
