test_id,test_name,matched_id,matched_name,score,is_correct
21569,A V I L A M o n s e r r a t M a r i a R O C H A,21569,"AVILA ROCHA, Maria Monserrat",75.0,0
30887,S H A R I F R a h i m H a m a N i a m a t H a m a,30887,"SHARIF, Niamat Hama Rahim Hama",83.33333333333334,1
12475,E L L I S S A S O C I E T E G R O U P C O N G O,12475,SOCIETE ELLISSA GROUP CONGO,89.28571428571429,1
21846,L L C T R A D I N G M A I W A N D G E N E R A L C O,21846,MAIWAND GENERAL TRADING CO LLC,85.24590163934427,1
44218,E X P E R T L I A B I L I T Y C O M P A N Y L I M I T E D I M E X,44218,LIMITED LIABILITY COMPANY IMEX EXPERT,90.66666666666666,1
46168,Y A G H M O U R J i h a d S h a k e r M u h a m m a d,46168,"YAGHMOUR, Jihad Muhammad Shaker",77.77777777777779,1
43252,J O I N T C O M P A N Y O P E N S T O C K S U D O R E M O N T N I Y S U D O S T R O I T E L N O Z A V O D S A M U S S K I Y,30465,LIA COMPANY,72.0,0
26144,J h o n a n A l e x a n d e r M A R T I N E Z U R E N A,26144,"URENA MARTINEZ, Jhonan Alexander",83.07692307692307,1
26201,G R O U P C O R P R I M I N V E S T M E N T S,26201,"RIM GROUP INVESTMENTS, CORP.",100.0,1
29270,A N D G R O U P T O U R I S M I N V E S T M E N T C H A M M U R U J,29270,MURUJ CHAM INVESTMENT AND TOURISM GROUP,93.67088607594937,1
49961,P O I N T L I A B I L I T Y L I M I T E D C O M P A N Y H E A D,49961,LIMITED LIABILITY COMPANY HEAD POINT,100.0,1
43522,L L C A R V A N C L O U D G L O B A L T E C H N O L O G I E S,43522,ARVANCLOUD GLOBAL TECHNOLOGIES L.L.C.,90.32258064516128,1
9385,D E S C Y O R G A N I Z A C I O N S E R V I C I O S A D M I N I S T R A T I V O S,15768,"ASESORIA Y SERVICIOS ADMINISTRATIVOS, TECNICOS Y OPERATIVOS DUREL, S.A. DE C.V.",72.97297297297297,0
46688,O B S H C H E S T V O T E K H N O L O G I I P R O M Y S H L E N N Y E A K T S I O N E R N O E,48989,"TEKHNOLOGIYA, OOO",66.00000000000001,0
25954,R A A H B A R S A R I R T R A C K I N G I N T E G R A T E D I N C S Y S T E M S,25954,RAAHBAR SARIR INTEGRATED TRACKING SYSTEMS INC,81.72043010752688,1
50328,C O M P A N Y S T O C K C H E R N I G O V E T S J O I N T,47211,JOINT STOCK COMPANY VREMYA CH,78.125,0
52193,L I A B I L I T Y C O M P A N Y I N V E S T L I M I T E D B R,52193,LIMITED LIABILITY COMPANY BR INVEST,100.0,1
48721,I N D I A P R I V A T E L I M I T E D P O R T S H I P P I N G Z E N,48721,ZEN SHIPPING & PORT INDIA PRIVATE LIMITED,100.0,1
47251,J O I N T C O M P A N Y S T O C K Q U O R U M,47251,JOINT STOCK COMPANY QUORUM,100.0,1
50344,G R U P P C O M P A N Y K A P I T A L L I A B I L I T Y L I M I T E D,48990,TRANS KAPITAL LIMITED LIABILITY COMPANY,88.60759493670886,0
41113,C O M P U T E R L I M I T E D H O L D I N G I N T E L L I G E N T L I A B I L I T Y S Y S T E M S C O M P A N Y,41113,LIMITED LIABILITY COMPANY HOLDING INTELLIGENT COMPUTER SYSTEMS,100.0,1
24392,M I D D L E H O L D I N G S A L A F R I C A I N V E S T M E N T E A S T,24392,AFRICA MIDDLE EAST INVESTMENT HOLDING SAL,90.2439024390244,1
